price,negotiable,bedrooms,bathrooms,city,district,house_size_sqft,land_size_perches
46000000.0,1,3,3,96,4,2850.0,7.85
40000000.0,1,3,3,166,4,2850.0,3.0
41500000.0,0,4,3,166,4,2850.0,13.38
40000000.0,0,4,1,142,4,2850.0,11.0
31000000.0,0,4,2,166,4,2850.0,7.7
22500000.0,0,3,2,166,4,2850.0,7.31
21000000.0,0,3,1,133,4,2850.0,7.0
60000000.0,0,6,2,166,4,2850.0,7.3
110000000.0,0,4,3,41,4,2850.0,16.7
70000000.0,1,6,6,20,4,2850.0,20.0
26700000.0,0,4,2,9,4,1600.0,11.0
22500000.0,1,3,2,61,4,2850.0,10.0
37500000.0,0,5,3,98,4,2850.0,8.0
12000000.0,0,4,1,61,4,2850.0,18.0
9500000.0,0,4,2,50,6,2850.0,10.0
44500000.0,1,5,3,61,4,2850.0,14.9
79500000.0,0,4,4,50,6,4500.0,9.0
7500000.0,1,2,1,50,6,2850.0,3.0
10000000.0,0,2,1,157,6,2850.0,5.0
19000000.0,0,3,2,133,4,2850.0,7.5
50000000.0,0,1,1,121,4,2850.0,20.0
46000000.0,0,3,3,96,4,2850.0,7.85
8700000.0,0,2,2,166,6,2850.0,6.2
40000000.0,0,7,3,64,6,2850.0,15.75
13800000.0,0,3,1,166,6,2850.0,6.5
40000000.0,0,4,4,50,6,2850.0,17.0
8500000.0,0,3,1,50,6,2850.0,7.0
27000000.0,0,3,2,166,4,2850.0,6.0
13800000.0,0,3,1,61,4,2850.0,6.0
9500000.0,0,3,1,62,9,2850.0,40.0
9000000.0,0,2,1,61,4,2850.0,17.0
9300000.0,0,3,1,61,4,2850.0,6.6
16800000.0,0,3,2,61,4,1395.0,10.0
17200000.0,0,3,2,61,4,2850.0,12.5
39700000.0,0,5,2,166,4,2414.0,13.24
16000000.0,0,3,1,166,4,2850.0,10.8
24000000.0,1,5,1,129,4,2850.0,10.0
30000000.0,1,4,2,96,4,2850.0,9.0
22500000.0,1,3,2,128,4,2850.0,6.75
25000000.0,0,2,1,128,4,2850.0,6.0
53000000.0,1,3,3,142,4,2600.0,9.1
24000000.0,1,3,2,96,4,2850.0,7.0
27000000.0,1,2,1,166,4,2850.0,9.9
37500000.0,1,3,2,96,4,2850.0,6.3
