negotiable,bedrooms,bathrooms,city,district,house_size_sqft,land_size_perches,price
0,5,4,88,4,2850.0,10.0,45000000.0
0,3,2,146,7,2850.0,15.0,8800000.0
0,3,1,66,6,2850.0,13.5,13000000.0
1,4,2,166,6,2850.0,11.0,22500000.0
0,3,2,50,6,2850.0,17.0,17000000.0
1,4,2,133,4,2850.0,8.0,20000000.0
0,3,2,76,10,2850.0,12.0,8000000.0
1,4,2,165,6,2850.0,10.0,39500000.0
1,4,3,139,4,5000.0,10.0,135000000.0
1,4,3,166,4,2850.0,16.0,145000000.0
0,3,3,166,4,3000.0,120.0,31000000.0
1,2,1,113,4,2850.0,11.0,16000000.0
0,3,1,50,6,2850.0,12.0,11000000.0
1,4,2,166,4,2850.0,10.0,22500000.0
1,4,2,66,6,2850.0,11.0,22500000.0
0,3,2,166,4,2250.0,8.25,60000000.0
0,4,3,166,4,2350.0,6.0,38500000.0
0,4,4,121,4,2400.0,7.12,85000000.0
1,6,6,27,4,2850.0,27.28,280000000.0
1,1,1,50,6,2850.0,80.0,8900000.0
0,8,3,50,6,2850.0,22.5,250000000.0
0,3,1,8,4,2850.0,17.6,25000000.0
0,3,1,166,4,2850.0,43.0,12000000.0
0,5,2,166,4,2850.0,8.7,35000000.0
1,4,2,73,9,2850.0,9.5,370100000.0
0,5,2,66,6,2850.0,12.5,17500000.0
0,1,1,50,6,2850.0,15.0,7000000.0
0,3,1,47,11,2850.0,14.0,4300000.0
1,5,2,73,9,2850.0,11.5,16500000.0
1,3,2,166,4,2850.0,11.0,25000000.0
0,4,3,166,4,4200.0,35.0,225000000.0
1,1,1,41,4,2850.0,3.55,20000000.0
0,3,2,113,4,2850.0,6.0,27000000.0
1,5,5,50,6,5300.0,16.5,70000000.0
0,2,1,85,6,2850.0,160.0,4500000.0
1,3,2,73,9,2850.0,12.0,9500000.0
1,4,1,38,14,2850.0,52.0,20000000.0
0,3,1,166,4,2850.0,10.0,2000000.0
0,3,2,44,20,2850.0,20.0,1950000.0
